Category,Close,Close,Close,Close,Close,Close,Vol,Vol,Vol,Vol,Vol,Vol
Asset,BTCUSDT,ETHUSDT,ADAUSDT,BNBUSDT,DOTUSDT,MATICUSDT,BTCUSDT,ETHUSDT,ADAUSDT,BNBUSDT,DOTUSDT,MATICUSDT
open_time,,,,,,,,,,,,
2020-01-01 00:00:00,7175.62,128.9,0.03281,13.7006,,,1.675424,8.30615,40133.1,27.57,,
2020-01-01 01:00:00,7212.38,130.3,0.03301,13.7852,,,4.299518,23.2739,4614.2,95.48,,
2020-01-01 02:00:00,7238.03,130.91,0.03321,13.8262,,,4.444675,5.42096,25844.9,44.49,,
2020-01-01 03:00:00,7230.71,130.18,0.03308,13.8159,,,2.340828,79.96667,31955.3,10.51,,
2020-01-01 04:00:00,7216.0,130.29,0.03295,13.793,,,0.614507,15.6895,105207.9,21.56,,
2020-01-01 05:00:00,7224.91,130.25,0.0331,13.8002,,,0.013741,7.87209,10339.5,21.74,,
2020-01-01 06:00:00,7231.7,130.4,0.03314,13.8288,,,0.051367,4.86001,1943.2,45.91,,
2020-01-01 07:00:00,7205.5,130.52,0.0332,13.7648,,,0.431705,2.29861,6347.3,53.08,,
2020-01-01 08:00:00,7192.18,130.06,0.03316,13.7296,,,0.510236,3.25928,2608.9,167.84,,
2020-01-01 09:00:00,7198.17,130.38,0.03312,13.7198,,,0.25693,4.69455,2188.5,74.28,,
2020-01-01 10:00:00,7202.36,130.67,0.03316,13.7336,,,0.139553,27.54319,4534.4,58.09,,
2020-01-01 11:00:00,7195.8,130.84,0.03321,13.7162,,,1.190639,31.91654,7535.8,151.94,,
2020-01-01 12:00:00,7227.12,131.36,0.03341,13.7783,,,2.349616,20.42132,4333.4,43.88,,
2020-01-01 13:00:00,7228.31,131.59,0.03347,13.8286,,,0.42023,21.54643,2983.3,27.72,,
2020-01-01 14:00:00,7223.45,132.09,0.0334,13.8179,,,0.748496,55.44039,1209.9,33.32,,
2020-01-01 15:00:00,7233.02,131.84,0.03357,13.7958,,,4.013164,6.7709,15593.0,41.14,,
2020-01-01 16:00:00,7241.81,132.14,0.03371,13.8232,,,3.527958,4.53839,10239.9,19.34,,
2020-01-01 17:00:00,7241.46,132.54,0.0337,13.7837,,,1.87798,14.61843,12126.9,36.73,,
2020-01-01 18:00:00,7231.48,132.03,0.03366,13.7165,,,0.084067,5.05134,1269.6,79.01,,
2020-01-01 19:00:00,7223.72,131.98,0.03361,13.727,,,0.004396,0.75769,1646.1,53.79,,
2020-01-01 20:00:00,7223.72,132.09,0.03353,13.7382,,,0.0,0.27388,4717.6,35.84,,
2020-01-01 21:00:00,7223.72,131.88,0.03352,13.7349,,,0.0,3.84671,1463.1,14.58,,
2020-01-01 22:00:00,7194.3,130.39,0.03352,13.6752,,,1.918391,68.62921,32290.1,30.75,,
2020-01-01 23:00:00,7195.65,130.52,0.03346,13.6954,,,0.490462,2.86027,2006.4,22.19,,
2020-01-02 00:00:00,7210.05,130.52,0.03351,13.7158,,,1.755075,1.14765,4262.0,27.86,,
2020-01-02 01:00:00,7192.67,130.47,0.0334,13.6809,,,1.860266,3.26266,3390.1,41.38,,
2020-01-02 02:00:00,7168.0,129.64,0.03325,13.5954,,,2.314664,88.80409,1664.5,256.96,,
2020-01-02 03:00:00,7127.53,128.96,0.03326,13.5444,,,0.642659,9.95563,3583.1,37.09,,
2020-01-02 04:00:00,7148.0,129.59,0.03307,13.5461,,,3.942781,5.7527,7191.9,14.99,,
2020-01-02 05:00:00,7145.0,129.55,0.03302,13.5358,,,24.674294,2.30703,1510.6,169.3,,
2020-01-02 06:00:00,7129.45,129.39,0.03312,13.482,,,8.112827,3.52906,2798.5,127.25,,
2020-01-02 07:00:00,7114.66,129.03,0.03303,13.4469,,,0.858219,3.02807,2700.0,100.96,,
2020-01-02 08:00:00,7148.84,130.18,0.03319,13.5248,,,1.345919,6.39027,3281.0,74.43,,
2020-01-02 09:00:00,7158.78,129.78,0.0332,13.5248,,,0.483316,2.30681,4266.6,0.0,,
2020-01-02 10:00:00,7160.41,130.0,0.0332,13.5262,,,0.102562,6.9114,16614.3,57.62,,
2020-01-02 11:00:00,7160.41,130.0,0.03329,13.5094,,,0.0,0.0,1930.1,33.34,,
2020-01-02 12:00:00,7150.08,129.68,0.03331,13.5094,,,0.862874,4.77316,2397.7,0.0,,
2020-01-02 13:00:00,7125.63,129.1,0.03329,13.3914,,,0.933214,6.94964,1780.2,119.12,,
2020-01-02 14:00:00,7125.63,129.1,0.03333,13.4209,,,0.0,0.0,5528.2,42.87,,
2020-01-02 15:00:00,7131.26,129.1,0.03324,13.381,,,1.052842,0.0,2262.0,25.04,,
2020-01-02 16:00:00,7054.43,127.66,0.03304,13.2505,,,6.091643,121.81957,20572.2,36.74,,
2020-01-02 17:00:00,6968.69,126.84,0.03246,13.0802,,,6.911557,16.74909,22747.5,235.14,,
2020-01-02 18:00:00,6980.55,127.68,0.03249,13.0875,,,0.477722,2.99655,3825.9,102.22,,
2020-01-02 19:00:00,6985.45,127.61,0.03266,13.0638,,,0.783677,2.401,2261.0,134.86,,
2020-01-02 20:00:00,6953.13,127.61,0.03248,13.0154,,,2.123321,0.0,4472.4,89.07,,
2020-01-02 21:00:00,6976.59,127.73,0.0328,13.0344,,,0.81835,4.52344,43607.3,46.5,,
2020-01-02 22:00:00,6965.83,127.48,0.03291,13.0463,,,0.661635,4.35506,90161.2,244.54,,
2020-01-02 23:00:00,6961.8,127.22,0.03272,13.0225,,,0.19499,0.32834,4494.1,35.5,,
2020-01-03 00:00:00,6936.11,127.39,0.03272,13.027,,,0.796844,3.52087,4122.5,64.89,,
2020-01-03 01:00:00,6888.57,126.06,0.03248,13.0015,,,4.604679,2.48433,12859.4,29.65,,
2020-01-03 02:00:00,6956.52,126.77,0.03293,13.2053,,,2.783557,26.19608,20707.2,161.47,,
2020-01-03 03:00:00,6953.18,127.04,0.03288,13.1974,,,0.30302,1.90567,1215.3,327.94,,
2020-01-03 04:00:00,7207.7,129.22,0.03355,13.5697,,,21.671951,28.60061,190119.3,702.67,,
2020-01-03 05:00:00,7205.36,129.28,0.03384,13.5337,,,8.758447,11.22468,11619.1,404.82,,
